date,project,source,campaign,campaign_id,impressions,clicks,cost,conversions,revenue
2024-11-10,Solodent,yandex,S1,87654321,1560,195,4700,5,13500
2024-11-11,Solodent,yandex,S1,87654321,1555,193,4650,6,15200
2024-11-12,Solodent,yandex,S1,87654321,1570,198,4800,5,13800
2024-11-13,Solodent,yandex,S1,87654321,1565,196,4750,6,15500
2024-11-14,Solodent,yandex,S1,87654321,1580,200,4900,5,14000
2024-11-15,Solodent,yandex,S1,87654321,1575,198,4850,6,15800
2024-11-16,Solodent,yandex,S1,87654321,1590,205,5000,5,14200
2024-11-17,Solodent,yandex,S1,87654321,1585,202,4950,6,16000
2024-11-18,Solodent,yandex,S1,87654321,1600,208,5100,5,14500
2024-11-19,Solodent,yandex,S1,87654321,1595,206,5050,6,16200
2024-11-20,Solodent,yandex,S1,87654321,1610,210,5200,5,14800
2024-11-21,Solodent,yandex,S1,87654321,1605,208,5150,6,16500
2024-11-22,Solodent,yandex,S1,87654321,1620,215,5400,4,10000
2024-11-23,Solodent,yandex,S1,87654321,1650,420,6200,2,5500
2024-11-24,Solodent,yandex,S1,87654321,1680,680,7100,1,2500
2024-11-25,Solodent,yandex,S1,87654321,1720,950,8200,0,0
2024-11-26,Solodent,yandex,S1,87654321,1750,1100,9000,0,0
2024-11-27,Solodent,yandex,S1,87654321,1780,1250,9800,0,0
2024-11-28,Solodent,yandex,S1,87654321,1800,1400,10500,0,0
2024-11-29,Solodent,yandex,S1,87654321,1820,1550,11200,0,0
2024-11-30,Solodent,yandex,S1,87654321,1850,1700,12000,0,0
2024-12-01,Solodent,yandex,S1,87654321,1880,1850,12800,0,0
2024-12-02,Solodent,yandex,S1,87654321,1900,2000,13500,0,0
2024-12-03,Solodent,yandex,S1,87654321,1920,2150,14200,0,0
2024-12-04,Solodent,yandex,S1,87654321,1950,2300,15000,0,0
2024-12-05,Solodent,yandex,S1,87654321,1980,2450,15800,0,0
2024-12-06,Solodent,yandex,S1,87654321,2000,2600,16500,0,0
2024-12-07,Solodent,yandex,S1,87654321,2020,2750,17200,0,0
2024-12-08,Solodent,yandex,S1,87654321,2050,2900,18000,0,0
2024-12-09,Solodent,yandex,S1,87654321,2080,3050,18800,0,0
2024-12-10,Solodent,yandex,S1,87654321,2100,3200,19500,0,0
2024-12-11,Solodent,yandex,S1,87654321,2120,3350,20200,0,0
2024-12-12,Solodent,yandex,S1,87654321,2150,3500,21000,0,0
2024-12-13,Solodent,yandex,S1,87654321,2180,3650,21800,0,0
2024-12-14,Solodent,yandex,S1,87654321,2200,3800,22500,0,0
2024-12-15,Solodent,yandex,S1,87654321,2220,3950,23200,0,0
2024-11-01,Maksteel,meta,M1,11223344,5000,300,8500,4,18000
2024-11-02,Maksteel,meta,M1,11223344,5100,310,8700,4,18500
2024-11-03,Maksteel,meta,M1,11223344,5050,305,8600,4,18200
2024-11-04,Maksteel,meta,M1,11223344,5150,315,8800,5,21000
2024-11-05,Maksteel,meta,M1,11223344,5100,310,8700,4,18500
2024-11-06,Maksteel,meta,M1,11223344,5200,320,8900,5,21500
2024-11-07,Maksteel,meta,M1,11223344,5150,315,8800,4,19000
2024-11-08,Maksteel,meta,M1,11223344,5250,325,9000,5,22000
2024-11-09,Maksteel,meta,M1,11223344,5200,320,8900,4,19500
2024-11-10,Maksteel,meta,M1,11223344,5300,330,9100,5,22500
2024-11-11,Maksteel,meta,M1,11223344,5250,325,9000,4,20000
2024-11-12,Maksteel,meta,M1,11223344,5350,335,9200,5,23000
2024-11-13,Maksteel,meta,M1,11223344,5300,330,9100,4,20500
2024-11-14,Maksteel,meta,M1,11223344,5400,340,9300,5,23500
2024-11-15,Maksteel,meta,M1,11223344,5350,335,9200,4,21000
2024-11-16,Maksteel,meta,M1,11223344,5450,345,9400,5,24000
2024-11-17,Maksteel,meta,M1,11223344,5400,340,9300,4,21500
2024-11-18,Maksteel,meta,M1,11223344,5500,350,9500,5,24500
2024-11-19,Maksteel,meta,M1,11223344,5450,345,9400,4,22000
2024-11-20,Maksteel,meta,M1,11223344,5550,355,9600,5,25000
2024-11-21,Maksteel,meta,M1,11223344,5500,350,9500,4,22500
2024-11-22,Maksteel,meta,M1,11223344,5600,360,9700,5,25500
2024-11-23,Maksteel,meta,M1,11223344,5550,355,9600,4,23000
2024-11-24,Maksteel,meta,M1,11223344,5650,365,9800,5,26000
2024-11-25,Maksteel,meta,M1,11223344,5600,360,9700,4,23500
2024-11-26,Maksteel,meta,M1,11223344,5700,370,9900,5,26500
2024-11-27,Maksteel,meta,M1,11223344,5650,365,9800,4,24000
2024-11-28,Maksteel,meta,M1,11223344,5750,375,10000,5,27000
2024-11-29,Maksteel,meta,M1,11223344,5700,370,9900,4,24500
2024-11-30,Maksteel,meta,M1,11223344,5800,380,10100,5,27500
2024-12-01,Maksteel,meta,M1,11223344,5750,375,10000,4,25000
2024-12-02,Maksteel,meta,M1,11223344,5850,385,10200,5,28000
2024-12-03,Maksteel,meta,M1,11223344,5800,380,10100,4,25500
2024-12-04,Maksteel,meta,M1,11223344,5900,390,10300,5,28500
2024-12-05,Maksteel,meta,M1,11223344,5850,385,10200,4,26000
2024-12-06,Maksteel,meta,M1,11223344,5950,395,10400,5,29000
2024-12-07,Maksteel,meta,M1,11223344,5900,390,10300,4,26500
2024-12-08,Maksteel,meta,M1,11223344,6000,400,10500,5,29500
2024-12-09,Maksteel,meta,M1,11223344,5950,395,10400,4,27000
2024-12-10,Maksteel,meta,M1,11223344,6050,405,10600,5,30000
2024-12-11,Maksteel,meta,M1,11223344,6000,400,10500,4,27500
2024-12-12,Maksteel,meta,M1,11223344,6100,410,10700,5,30500
2024-12-13,Maksteel,meta,M1,11223344,6050,405,10600,4,28000
2024-12-14,Maksteel,meta,M1,11223344,6150,415,10800,5,31000
2024-12-15,Maksteel,meta,M1,11223344,6100,410,10700,4,28500
